datetime,symbol,open,high,low,close,volume
2025-11-19 23:00:00,OANDA:USDCAD,1.40484,1.40558,1.40418,1.40549,8595.0
2025-11-20 03:00:00,OANDA:USDCAD,1.40548,1.40613,1.4051,1.40601,12434.0
2025-11-20 07:00:00,OANDA:USDCAD,1.40602,1.40632,1.40504,1.40506,16391.0
2025-11-20 11:00:00,OANDA:USDCAD,1.40507,1.40712,1.40406,1.405,22414.0
2025-11-20 15:00:00,OANDA:USDCAD,1.405,1.41072,1.40434,1.41017,41296.0
2025-11-20 19:00:00,OANDA:USDCAD,1.41018,1.41051,1.40901,1.40972,22769.0
2025-11-20 23:00:00,OANDA:USDCAD,1.40967,1.41,1.40838,1.4089,14389.0
2025-11-21 03:00:00,OANDA:USDCAD,1.40888,1.40942,1.40867,1.4092,18106.0
2025-11-21 07:00:00,OANDA:USDCAD,1.4092,1.41059,1.40822,1.4093,22717.0
2025-11-21 11:00:00,OANDA:USDCAD,1.40933,1.41136,1.40818,1.40894,28188.0
2025-11-21 15:00:00,OANDA:USDCAD,1.40892,1.41311,1.40882,1.40936,36547.0
2025-11-21 19:00:00,OANDA:USDCAD,1.40935,1.41048,1.40894,1.41038,20325.0
2025-11-23 23:00:00,OANDA:USDCAD,1.40997,1.41047,1.40948,1.41,8958.0
2025-11-24 03:00:00,OANDA:USDCAD,1.40999,1.41012,1.40921,1.40946,12339.0
2025-11-24 07:00:00,OANDA:USDCAD,1.40948,1.4115,1.40914,1.4114,18180.0
2025-11-24 11:00:00,OANDA:USDCAD,1.41142,1.41184,1.40974,1.41026,17497.0
2025-11-24 15:00:00,OANDA:USDCAD,1.41026,1.4119,1.40987,1.41126,23517.0
2025-11-24 19:00:00,OANDA:USDCAD,1.41126,1.41136,1.41028,1.41072,9463.0
2025-11-24 23:00:00,OANDA:USDCAD,1.41082,1.41149,1.41037,1.41086,8500.0
2025-11-25 03:00:00,OANDA:USDCAD,1.41086,1.41211,1.41062,1.41178,10897.0
2025-11-25 07:00:00,OANDA:USDCAD,1.41178,1.41242,1.41135,1.41158,15750.0
2025-11-25 11:00:00,OANDA:USDCAD,1.41157,1.41251,1.41048,1.41068,21479.0
2025-11-25 15:00:00,OANDA:USDCAD,1.41068,1.41194,1.40906,1.40946,38299.0
2025-11-25 19:00:00,OANDA:USDCAD,1.40946,1.41042,1.40898,1.41,15933.0
2025-11-25 23:00:00,OANDA:USDCAD,1.4098,1.41052,1.40806,1.40856,14539.0
2025-11-26 03:00:00,OANDA:USDCAD,1.40858,1.40864,1.40709,1.40738,16441.0
2025-11-26 07:00:00,OANDA:USDCAD,1.40739,1.4084,1.40678,1.40826,17848.0
2025-11-26 11:00:00,OANDA:USDCAD,1.40825,1.40996,1.40784,1.40962,25290.0
2025-11-26 15:00:00,OANDA:USDCAD,1.40962,1.4101,1.40426,1.40447,26662.0
2025-11-26 19:00:00,OANDA:USDCAD,1.40448,1.40464,1.40348,1.40436,12385.0
2025-11-26 23:00:00,OANDA:USDCAD,1.40473,1.40482,1.40346,1.40348,11297.0
2025-11-27 03:00:00,OANDA:USDCAD,1.40347,1.40374,1.40287,1.40332,15872.0
2025-11-27 07:00:00,OANDA:USDCAD,1.40332,1.40493,1.40302,1.40485,17768.0
2025-11-27 11:00:00,OANDA:USDCAD,1.40486,1.405,1.40398,1.4045,14540.0
2025-11-27 15:00:00,OANDA:USDCAD,1.40448,1.40468,1.40285,1.40302,10497.0
2025-11-27 19:00:00,OANDA:USDCAD,1.403,1.40331,1.4028,1.40302,5427.0
2025-11-27 23:00:00,OANDA:USDCAD,1.40317,1.40346,1.40246,1.40341,11642.0
2025-11-28 03:00:00,OANDA:USDCAD,1.40342,1.40422,1.40278,1.40354,129412.0
2025-11-28 07:00:00,OANDA:USDCAD,1.40353,1.40448,1.40332,1.40398,92395.0
2025-11-28 11:00:00,OANDA:USDCAD,1.404,1.40518,1.39924,1.39972,67212.0
2025-11-28 15:00:00,OANDA:USDCAD,1.39968,1.39992,1.39384,1.39752,35459.0
2025-11-28 19:00:00,OANDA:USDCAD,1.39752,1.39824,1.39652,1.39761,26431.0
2025-11-30 23:00:00,OANDA:USDCAD,1.39794,1.39804,1.39647,1.39718,16349.0
2025-12-01 03:00:00,OANDA:USDCAD,1.39719,1.399,1.39714,1.39866,19254.0
2025-12-01 07:00:00,OANDA:USDCAD,1.39866,1.39918,1.39705,1.39854,20622.0
2025-12-01 11:00:00,OANDA:USDCAD,1.39855,1.39875,1.39548,1.39633,20264.0
2025-12-01 15:00:00,OANDA:USDCAD,1.39634,1.39854,1.3956,1.39824,30622.0
2025-12-01 19:00:00,OANDA:USDCAD,1.39824,1.4002,1.3982,1.39976,15788.0
2025-12-01 23:00:00,OANDA:USDCAD,1.39968,1.40078,1.39954,1.40012,7226.0
2025-12-02 03:00:00,OANDA:USDCAD,1.40011,1.40032,1.3996,1.3998,11746.0
2025-12-02 07:00:00,OANDA:USDCAD,1.3998,1.401,1.39928,1.40082,16135.0
2025-12-02 11:00:00,OANDA:USDCAD,1.40082,1.40148,1.39974,1.39978,17526.0
2025-12-02 15:00:00,OANDA:USDCAD,1.39978,1.39986,1.39758,1.39862,30306.0
2025-12-02 19:00:00,OANDA:USDCAD,1.39862,1.39872,1.39674,1.39677,12763.0
2025-12-02 23:00:00,OANDA:USDCAD,1.3969,1.39756,1.39627,1.39662,10473.0
2025-12-03 03:00:00,OANDA:USDCAD,1.39662,1.39748,1.39656,1.39722,10750.0
2025-12-03 07:00:00,OANDA:USDCAD,1.39721,1.39736,1.39548,1.39554,16652.0
2025-12-03 11:00:00,OANDA:USDCAD,1.39552,1.39554,1.39386,1.3946,17582.0
2025-12-03 15:00:00,OANDA:USDCAD,1.3946,1.39696,1.39412,1.39442,31254.0
2025-12-03 19:00:00,OANDA:USDCAD,1.39444,1.39552,1.3942,1.39502,12576.0
2025-12-03 23:00:00,OANDA:USDCAD,1.39486,1.39632,1.39472,1.39618,10776.0
2025-12-04 03:00:00,OANDA:USDCAD,1.39617,1.39688,1.39583,1.39612,17739.0
2025-12-04 07:00:00,OANDA:USDCAD,1.39612,1.39713,1.39574,1.39604,19803.0
2025-12-04 11:00:00,OANDA:USDCAD,1.39601,1.39776,1.39582,1.39679,23524.0
2025-12-04 15:00:00,OANDA:USDCAD,1.3968,1.39688,1.39254,1.39458,29331.0
2025-12-04 19:00:00,OANDA:USDCAD,1.3946,1.39606,1.39444,1.39577,17753.0
2025-12-04 23:00:00,OANDA:USDCAD,1.39556,1.39608,1.39509,1.39513,6507.0
2025-12-05 03:00:00,OANDA:USDCAD,1.39512,1.39578,1.39491,1.39496,7350.0
2025-12-05 07:00:00,OANDA:USDCAD,1.39496,1.3951,1.39404,1.3944,13107.0
2025-12-05 11:00:00,OANDA:USDCAD,1.39439,1.39526,1.38848,1.38876,18935.0
2025-12-05 15:00:00,OANDA:USDCAD,1.38876,1.38936,1.38338,1.38353,30303.0
2025-12-05 19:00:00,OANDA:USDCAD,1.3835,1.3846,1.38168,1.38171,15468.0
2025-12-07 23:00:00,OANDA:USDCAD,1.38323,1.38365,1.38219,1.38243,12592.0
2025-12-08 03:00:00,OANDA:USDCAD,1.38242,1.38268,1.38192,1.38203,8903.0
2025-12-08 07:00:00,OANDA:USDCAD,1.38204,1.38294,1.38138,1.38243,15634.0
2025-12-08 11:00:00,OANDA:USDCAD,1.38242,1.38274,1.37999,1.38103,16017.0
2025-12-08 15:00:00,OANDA:USDCAD,1.38102,1.38531,1.38001,1.3842,27816.0
2025-12-08 19:00:00,OANDA:USDCAD,1.38418,1.38598,1.38402,1.38577,12328.0
2025-12-08 23:00:00,OANDA:USDCAD,1.38546,1.38557,1.38468,1.3849,8037.0
2025-12-09 03:00:00,OANDA:USDCAD,1.3849,1.38531,1.38446,1.38498,14437.0
2025-12-09 07:00:00,OANDA:USDCAD,1.38499,1.38578,1.3839,1.38397,16965.0
2025-12-09 11:00:00,OANDA:USDCAD,1.38398,1.38499,1.38379,1.38404,15669.0
2025-12-09 15:00:00,OANDA:USDCAD,1.38403,1.38578,1.38237,1.38554,29182.0
2025-12-09 19:00:00,OANDA:USDCAD,1.38554,1.38608,1.3844,1.38452,12325.0
2025-12-09 23:00:00,OANDA:USDCAD,1.38472,1.3855,1.38439,1.38544,10377.0
2025-12-10 03:00:00,OANDA:USDCAD,1.38544,1.38576,1.38522,1.38536,12702.0
2025-12-10 07:00:00,OANDA:USDCAD,1.38536,1.38588,1.38455,1.38557,16057.0
