datetime,symbol,open,high,low,close,volume
2025-12-07 23:00:00,OANDA:USDCAD,1.38323,1.38724,1.37536,1.37708,536255.0
2025-12-14 23:00:00,OANDA:USDCAD,1.37698,1.3806,1.373,1.38018,545656.0
2025-12-21 23:00:00,OANDA:USDCAD,1.37953,1.38052,1.36426,1.36714,378484.0
2025-12-28 23:00:00,OANDA:USDCAD,1.36649,1.37478,1.36576,1.37322,378916.0
2026-01-04 23:00:00,OANDA:USDCAD,1.37435,1.39202,1.37361,1.39144,534456.0
2026-01-11 23:00:00,OANDA:USDCAD,1.39152,1.39288,1.38552,1.39154,494587.0
2026-01-18 23:00:00,OANDA:USDCAD,1.39108,1.39187,1.3694,1.3703,596505.0
2026-01-25 23:00:00,OANDA:USDCAD,1.37001,1.37394,1.34818,1.36197,1054327.0
2026-02-01 23:00:00,OANDA:USDCAD,1.36132,1.37248,1.36088,1.36742,982095.0
2026-02-08 23:00:00,OANDA:USDCAD,1.3674,1.36744,1.35044,1.36178,693355.0
2026-02-15 23:00:00,OANDA:USDCAD,1.36096,1.3715,1.36036,1.36826,559095.0
2026-02-22 23:00:00,OANDA:USDCAD,1.36767,1.37251,1.36252,1.36414,556593.0
2026-03-01 23:00:00,OANDA:USDCAD,1.36535,1.3753,1.35642,1.35654,1093001.0
2026-03-08 22:00:00,OANDA:USDCAD,1.36009,1.37418,1.35256,1.37206,1002907.0
2026-03-15 22:00:00,OANDA:USDCAD,1.37254,1.37486,1.36531,1.37235,720963.0
2026-03-22 22:00:00,OANDA:USDCAD,1.37183,1.38958,1.36697,1.3894,877304.0
2026-03-29 23:00:00,OANDA:USDCAD,1.38832,1.3967,1.38693,1.39464,646340.0
2026-04-05 23:00:00,OANDA:USDCAD,1.39368,1.39482,1.37992,1.38431,628148.0
2026-04-12 23:00:00,OANDA:USDCAD,1.38644,1.3878,1.36494,1.36934,539749.0
2026-04-19 23:00:00,OANDA:USDCAD,1.36863,1.37146,1.36312,1.36692,549963.0
2026-04-26 23:00:00,OANDA:USDCAD,1.36743,1.37111,1.35501,1.35938,579730.0
2026-05-03 23:00:00,OANDA:USDCAD,1.35882,1.37104,1.35778,1.36764,546468.0
2026-05-10 23:00:00,OANDA:USDCAD,1.36863,1.37674,1.36482,1.37495,506385.0
2026-05-17 23:00:00,OANDA:USDCAD,1.37497,1.38246,1.37312,1.38212,561933.0
2026-05-24 23:00:00,OANDA:USDCAD,1.38054,1.387,1.37702,1.37958,552088.0
2026-05-31 23:00:00,OANDA:USDCAD,1.38018,1.39509,1.37898,1.39402,596972.0
