datetime,symbol,open,high,low,close,volume
2026-06-05 13:00:00,OANDA:USDCAD,1.38767,1.38828,1.38766,1.38823,1151.0
2026-06-05 13:15:00,OANDA:USDCAD,1.38822,1.38824,1.38766,1.38781,1253.0
2026-06-05 13:30:00,OANDA:USDCAD,1.38782,1.388,1.38762,1.38794,1143.0
2026-06-05 13:45:00,OANDA:USDCAD,1.38793,1.38833,1.38778,1.388,1417.0
2026-06-05 14:00:00,OANDA:USDCAD,1.38798,1.38834,1.38761,1.38801,1293.0
2026-06-05 14:15:00,OANDA:USDCAD,1.38802,1.38942,1.3878,1.38881,1934.0
2026-06-05 14:30:00,OANDA:USDCAD,1.38882,1.38948,1.38666,1.38844,3804.0
2026-06-05 14:45:00,OANDA:USDCAD,1.38843,1.38956,1.38738,1.38948,3662.0
2026-06-05 15:00:00,OANDA:USDCAD,1.38946,1.38997,1.38881,1.38976,4471.0
2026-06-05 15:15:00,OANDA:USDCAD,1.38974,1.38982,1.38884,1.3892,2471.0
2026-06-05 15:30:00,OANDA:USDCAD,1.38921,1.39046,1.38921,1.39022,3034.0
2026-06-05 15:45:00,OANDA:USDCAD,1.39023,1.3904,1.38982,1.39038,3689.0
2026-06-05 16:00:00,OANDA:USDCAD,1.39038,1.39102,1.38994,1.39094,3646.0
2026-06-05 16:15:00,OANDA:USDCAD,1.39096,1.39197,1.39095,1.39189,2574.0
2026-06-05 16:30:00,OANDA:USDCAD,1.39188,1.3919,1.39128,1.39166,2710.0
2026-06-05 16:45:00,OANDA:USDCAD,1.39166,1.3918,1.39124,1.39173,2427.0
2026-06-05 17:00:00,OANDA:USDCAD,1.39172,1.39231,1.39138,1.39228,2291.0
2026-06-05 17:15:00,OANDA:USDCAD,1.39227,1.39256,1.39208,1.39235,2629.0
2026-06-05 17:30:00,OANDA:USDCAD,1.39237,1.39364,1.39237,1.39339,1745.0
2026-06-05 17:45:00,OANDA:USDCAD,1.3934,1.39388,1.39297,1.39329,2195.0
2026-06-05 18:00:00,OANDA:USDCAD,1.3933,1.39384,1.3932,1.39384,2215.0
2026-06-05 18:15:00,OANDA:USDCAD,1.39384,1.3942,1.39376,1.39408,1720.0
2026-06-05 18:30:00,OANDA:USDCAD,1.39408,1.39444,1.39398,1.3943,1193.0
2026-06-05 18:45:00,OANDA:USDCAD,1.39432,1.39437,1.39352,1.39366,1921.0
2026-06-05 19:00:00,OANDA:USDCAD,1.39364,1.39414,1.39352,1.39408,2398.0
2026-06-05 19:15:00,OANDA:USDCAD,1.39407,1.39422,1.39359,1.39369,1721.0
2026-06-05 19:30:00,OANDA:USDCAD,1.39368,1.3941,1.39355,1.39408,1795.0
2026-06-05 19:45:00,OANDA:USDCAD,1.39408,1.39442,1.394,1.39428,1552.0
2026-06-05 20:00:00,OANDA:USDCAD,1.3943,1.39461,1.39418,1.39445,844.0
2026-06-05 20:15:00,OANDA:USDCAD,1.39447,1.39458,1.39426,1.39458,1234.0
2026-06-05 20:30:00,OANDA:USDCAD,1.3946,1.39468,1.39418,1.39452,1109.0
2026-06-05 20:45:00,OANDA:USDCAD,1.39454,1.39497,1.39448,1.39497,1379.0
2026-06-05 21:00:00,OANDA:USDCAD,1.39498,1.39504,1.39466,1.39495,771.0
2026-06-05 21:15:00,OANDA:USDCAD,1.39498,1.39509,1.39453,1.39458,1085.0
2026-06-05 21:30:00,OANDA:USDCAD,1.39457,1.39486,1.39457,1.39465,694.0
2026-06-05 21:45:00,OANDA:USDCAD,1.39467,1.39468,1.39406,1.3943,968.0
2026-06-05 22:00:00,OANDA:USDCAD,1.39432,1.39506,1.39405,1.39483,1065.0
2026-06-05 22:15:00,OANDA:USDCAD,1.39484,1.39494,1.394,1.39416,803.0
2026-06-05 22:30:00,OANDA:USDCAD,1.39414,1.39449,1.39403,1.39424,846.0
2026-06-05 22:45:00,OANDA:USDCAD,1.39424,1.39439,1.39386,1.39402,1526.0
