datetime,symbol,open,high,low,close,volume
2026-06-05 13:00:00,OANDA:USDCAD,1.38767,1.38828,1.38766,1.38781,2404.0
2026-06-05 13:30:00,OANDA:USDCAD,1.38782,1.38833,1.38762,1.388,2560.0
2026-06-05 14:00:00,OANDA:USDCAD,1.38798,1.38942,1.38761,1.38881,3227.0
2026-06-05 14:30:00,OANDA:USDCAD,1.38882,1.38956,1.38666,1.38948,7466.0
2026-06-05 15:00:00,OANDA:USDCAD,1.38946,1.38997,1.38881,1.3892,6945.0
2026-06-05 15:30:00,OANDA:USDCAD,1.38921,1.39046,1.38921,1.39038,6733.0
2026-06-05 16:00:00,OANDA:USDCAD,1.39038,1.39197,1.38994,1.39189,6220.0
2026-06-05 16:30:00,OANDA:USDCAD,1.39188,1.3919,1.39124,1.39173,5137.0
2026-06-05 17:00:00,OANDA:USDCAD,1.39172,1.39256,1.39138,1.39235,4920.0
2026-06-05 17:30:00,OANDA:USDCAD,1.39237,1.39388,1.39237,1.39329,3940.0
2026-06-05 18:00:00,OANDA:USDCAD,1.3933,1.3942,1.3932,1.39408,3935.0
2026-06-05 18:30:00,OANDA:USDCAD,1.39408,1.39444,1.39352,1.39366,3114.0
2026-06-05 19:00:00,OANDA:USDCAD,1.39364,1.39422,1.39352,1.39369,4171.0
2026-06-05 19:30:00,OANDA:USDCAD,1.39368,1.39442,1.39355,1.39428,3347.0
2026-06-05 20:00:00,OANDA:USDCAD,1.3943,1.39461,1.39418,1.39458,2087.0
2026-06-05 20:30:00,OANDA:USDCAD,1.3946,1.39497,1.39418,1.39497,2488.0
2026-06-05 21:00:00,OANDA:USDCAD,1.39498,1.39509,1.39453,1.39458,1856.0
2026-06-05 21:30:00,OANDA:USDCAD,1.39457,1.39486,1.39406,1.3943,1662.0
2026-06-05 22:00:00,OANDA:USDCAD,1.39432,1.39506,1.394,1.39416,1868.0
2026-06-05 22:30:00,OANDA:USDCAD,1.39414,1.39449,1.39386,1.39402,2372.0
