datetime,symbol,open,high,low,close,volume
2026-06-05 13:00:00,OANDA:EURUSD,1.16403,1.16406,1.16354,1.16361,783.0
2026-06-05 13:15:00,OANDA:EURUSD,1.16362,1.16398,1.16354,1.1639,876.0
2026-06-05 13:30:00,OANDA:EURUSD,1.1639,1.16398,1.16345,1.16358,1102.0
2026-06-05 13:45:00,OANDA:EURUSD,1.16359,1.1642,1.16356,1.16416,1069.0
2026-06-05 14:00:00,OANDA:EURUSD,1.16416,1.16428,1.16387,1.16406,1249.0
2026-06-05 14:15:00,OANDA:EURUSD,1.16404,1.16408,1.16347,1.16352,1529.0
2026-06-05 14:30:00,OANDA:EURUSD,1.16352,1.16362,1.16054,1.16073,7585.0
2026-06-05 14:45:00,OANDA:EURUSD,1.16072,1.16082,1.15863,1.15866,4524.0
2026-06-05 15:00:00,OANDA:EURUSD,1.15868,1.15998,1.15842,1.15956,7052.0
2026-06-05 15:15:00,OANDA:EURUSD,1.15955,1.1599,1.15839,1.15847,3214.0
2026-06-05 15:30:00,OANDA:EURUSD,1.15848,1.15868,1.15768,1.1581,3719.0
2026-06-05 15:45:00,OANDA:EURUSD,1.1581,1.15856,1.15718,1.1572,4457.0
2026-06-05 16:00:00,OANDA:EURUSD,1.1572,1.15806,1.15612,1.15624,4952.0
2026-06-05 16:15:00,OANDA:EURUSD,1.15624,1.15626,1.15541,1.1556,3231.0
2026-06-05 16:30:00,OANDA:EURUSD,1.15559,1.15619,1.15496,1.15516,3245.0
2026-06-05 16:45:00,OANDA:EURUSD,1.15515,1.15602,1.15514,1.1559,3015.0
2026-06-05 17:00:00,OANDA:EURUSD,1.1559,1.15601,1.15461,1.15466,3059.0
2026-06-05 17:15:00,OANDA:EURUSD,1.15467,1.15512,1.15438,1.15467,2897.0
2026-06-05 17:30:00,OANDA:EURUSD,1.15466,1.15482,1.15346,1.15365,2300.0
2026-06-05 17:45:00,OANDA:EURUSD,1.15366,1.15366,1.15316,1.15325,1930.0
2026-06-05 18:00:00,OANDA:EURUSD,1.15326,1.15326,1.15264,1.1528,2432.0
2026-06-05 18:15:00,OANDA:EURUSD,1.1528,1.15306,1.15232,1.15268,2359.0
2026-06-05 18:30:00,OANDA:EURUSD,1.15267,1.15267,1.15226,1.1525,1532.0
2026-06-05 18:45:00,OANDA:EURUSD,1.15249,1.15331,1.15246,1.15322,2072.0
2026-06-05 19:00:00,OANDA:EURUSD,1.15324,1.15332,1.15267,1.15288,1703.0
2026-06-05 19:15:00,OANDA:EURUSD,1.15288,1.15296,1.1526,1.15272,1718.0
2026-06-05 19:30:00,OANDA:EURUSD,1.15272,1.15276,1.15222,1.15226,1384.0
2026-06-05 19:45:00,OANDA:EURUSD,1.15226,1.15254,1.15192,1.15243,1642.0
2026-06-05 20:00:00,OANDA:EURUSD,1.15244,1.15252,1.15195,1.1521,1718.0
2026-06-05 20:15:00,OANDA:EURUSD,1.1521,1.15261,1.15203,1.15226,1846.0
2026-06-05 20:30:00,OANDA:EURUSD,1.15224,1.15269,1.1522,1.15232,1250.0
2026-06-05 20:45:00,OANDA:EURUSD,1.15232,1.15291,1.15212,1.1523,2064.0
2026-06-05 21:00:00,OANDA:EURUSD,1.1523,1.15236,1.15188,1.152,1283.0
2026-06-05 21:15:00,OANDA:EURUSD,1.15199,1.15224,1.15184,1.15218,1175.0
2026-06-05 21:30:00,OANDA:EURUSD,1.15218,1.15248,1.15205,1.15242,1130.0
2026-06-05 21:45:00,OANDA:EURUSD,1.1524,1.15274,1.15234,1.15253,1434.0
2026-06-05 22:00:00,OANDA:EURUSD,1.15254,1.15255,1.1518,1.1518,844.0
2026-06-05 22:15:00,OANDA:EURUSD,1.15181,1.15242,1.1518,1.15236,510.0
2026-06-05 22:30:00,OANDA:EURUSD,1.15237,1.15263,1.15218,1.15226,730.0
2026-06-05 22:45:00,OANDA:EURUSD,1.15228,1.15247,1.15188,1.15226,1291.0
