datetime,symbol,open,high,low,close,volume
2025-11-19 23:00:00,OANDA:EURUSD,1.1539,1.15423,1.15364,1.15394,2301.0
2025-11-20 01:00:00,OANDA:EURUSD,1.15394,1.15394,1.15224,1.15229,9092.0
2025-11-20 03:00:00,OANDA:EURUSD,1.15228,1.15237,1.15101,1.15142,8120.0
2025-11-20 05:00:00,OANDA:EURUSD,1.15141,1.15205,1.15132,1.15158,5288.0
2025-11-20 07:00:00,OANDA:EURUSD,1.15156,1.15233,1.15136,1.15198,11308.0
2025-11-20 09:00:00,OANDA:EURUSD,1.15199,1.15278,1.15114,1.15275,13356.0
2025-11-20 11:00:00,OANDA:EURUSD,1.15276,1.15296,1.1513,1.15144,10550.0
2025-11-20 13:00:00,OANDA:EURUSD,1.15142,1.15389,1.15024,1.15278,24078.0
2025-11-20 15:00:00,OANDA:EURUSD,1.15277,1.155,1.15201,1.15274,27101.0
2025-11-20 17:00:00,OANDA:EURUSD,1.15276,1.15412,1.1525,1.15288,20410.0
2025-11-20 19:00:00,OANDA:EURUSD,1.15287,1.15407,1.15269,1.1538,10525.0
2025-11-20 21:00:00,OANDA:EURUSD,1.1538,1.15386,1.15239,1.15285,6465.0
2025-11-20 23:00:00,OANDA:EURUSD,1.15275,1.15348,1.15236,1.15338,4130.0
2025-11-21 01:00:00,OANDA:EURUSD,1.15338,1.15384,1.15282,1.15325,8888.0
2025-11-21 03:00:00,OANDA:EURUSD,1.15326,1.15391,1.15324,1.15364,6587.0
2025-11-21 05:00:00,OANDA:EURUSD,1.15364,1.15422,1.15346,1.15352,5691.0
2025-11-21 07:00:00,OANDA:EURUSD,1.15352,1.15479,1.15351,1.15414,12041.0
2025-11-21 09:00:00,OANDA:EURUSD,1.15414,1.15525,1.1525,1.15252,18259.0
2025-11-21 11:00:00,OANDA:EURUSD,1.15251,1.1527,1.15046,1.1506,14972.0
2025-11-21 13:00:00,OANDA:EURUSD,1.1506,1.1527,1.14966,1.15208,22411.0
2025-11-21 15:00:00,OANDA:EURUSD,1.15211,1.15236,1.1499,1.1503,24426.0
2025-11-21 17:00:00,OANDA:EURUSD,1.15028,1.15129,1.14912,1.15072,16253.0
2025-11-21 19:00:00,OANDA:EURUSD,1.15074,1.15178,1.1502,1.15133,10234.0
2025-11-21 21:00:00,OANDA:EURUSD,1.15133,1.1521,1.15092,1.1513,5905.0
2025-11-23 23:00:00,OANDA:EURUSD,1.15193,1.15193,1.15062,1.15074,2789.0
